2024-07-28 09:22:11, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:11, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:11, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:12, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:12, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:12, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:12, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:12, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:12, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:12, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:12, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:12, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:13, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:13, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:13, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:13, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:13, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:13, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:13, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:13, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:13, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:13, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:14, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:14, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:14, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:14, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:14, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:14, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:14, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:14, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:14, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:14, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:15, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:15, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:15, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:15, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:15, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
