2024-07-28 20:38:41, ACTUAL VELOCITY = nan, DESIRED VELOCITY = 30.00, ACTUAL BRAKE = 0.00, DESIRED BRAKE = 0.00, OBSTACLE DISTANCE = inf
2024-07-28 20:38:41, ACTUAL VELOCITY = nan, DESIRED VELOCITY = 30.00, ACTUAL BRAKE = 0.00, DESIRED BRAKE = 0.00, OBSTACLE DISTANCE = inf
2024-07-28 20:38:42, ACTUAL VELOCITY = nan, DESIRED VELOCITY = 30.00, ACTUAL BRAKE = 0.00, DESIRED BRAKE = 0.00, OBSTACLE DISTANCE = inf
2024-07-28 20:38:42, ACTUAL VELOCITY = nan, DESIRED VELOCITY = 30.00, ACTUAL BRAKE = 0.00, DESIRED BRAKE = 0.00, OBSTACLE DISTANCE = inf
2024-07-28 20:38:42, ACTUAL VELOCITY = nan, DESIRED VELOCITY = 30.00, ACTUAL BRAKE = 0.00, DESIRED BRAKE = 0.00, OBSTACLE DISTANCE = inf
2024-07-28 20:38:42, ACTUAL VELOCITY = nan, DESIRED VELOCITY = 30.00, ACTUAL BRAKE = 0.00, DESIRED BRAKE = 0.00, OBSTACLE DISTANCE = inf
2024-07-28 20:38:42, ACTUAL VELOCITY = nan, DESIRED VELOCITY = 30.00, ACTUAL BRAKE = 0.00, DESIRED BRAKE = 0.00, OBSTACLE DISTANCE = inf
2024-07-28 20:38:42, ACTUAL VELOCITY = nan, DESIRED VELOCITY = 30.00, ACTUAL BRAKE = 0.00, DESIRED BRAKE = 0.00, OBSTACLE DISTANCE = inf
2024-07-28 20:38:42, ACTUAL VELOCITY = nan, DESIRED VELOCITY = 30.00, ACTUAL BRAKE = 0.00, DESIRED BRAKE = 0.00, OBSTACLE DISTANCE = inf
2024-07-28 20:38:42, ACTUAL VELOCITY = nan, DESIRED VELOCITY = 30.00, ACTUAL BRAKE = 0.00, DESIRED BRAKE = 0.00, OBSTACLE DISTANCE = inf
2024-07-28 20:38:42, ACTUAL VELOCITY = nan, DESIRED VELOCITY = 30.00, ACTUAL BRAKE = 0.00, DESIRED BRAKE = 0.00, OBSTACLE DISTANCE = inf
2024-07-28 20:38:42, ACTUAL VELOCITY = nan, DESIRED VELOCITY = 30.00, ACTUAL BRAKE = 0.00, DESIRED BRAKE = 0.00, OBSTACLE DISTANCE = inf
2024-07-28 20:38:43, ACTUAL VELOCITY = nan, DESIRED VELOCITY = 30.00, ACTUAL BRAKE = 0.00, DESIRED BRAKE = 0.00, OBSTACLE DISTANCE = inf
2024-07-28 20:38:43, ACTUAL VELOCITY = nan, DESIRED VELOCITY = 30.00, ACTUAL BRAKE = 0.00, DESIRED BRAKE = 0.00, OBSTACLE DISTANCE = inf
2024-07-28 20:38:43, ACTUAL VELOCITY = nan, DESIRED VELOCITY = 30.00, ACTUAL BRAKE = 0.00, DESIRED BRAKE = 0.00, OBSTACLE DISTANCE = inf
2024-07-28 20:38:43, ACTUAL VELOCITY = nan, DESIRED VELOCITY = 30.00, ACTUAL BRAKE = 0.00, DESIRED BRAKE = 0.00, OBSTACLE DISTANCE = inf
2024-07-28 20:38:43, ACTUAL VELOCITY = nan, DESIRED VELOCITY = 30.00, ACTUAL BRAKE = 0.00, DESIRED BRAKE = 0.00, OBSTACLE DISTANCE = inf
2024-07-28 20:38:43, ACTUAL VELOCITY = nan, DESIRED VELOCITY = 30.00, ACTUAL BRAKE = 0.00, DESIRED BRAKE = 0.00, OBSTACLE DISTANCE = inf
2024-07-28 20:38:43, ACTUAL VELOCITY = nan, DESIRED VELOCITY = 30.00, ACTUAL BRAKE = 0.00, DESIRED BRAKE = 0.00, OBSTACLE DISTANCE = inf
2024-07-28 20:38:43, ACTUAL VELOCITY = nan, DESIRED VELOCITY = 30.00, ACTUAL BRAKE = 0.00, DESIRED BRAKE = 0.00, OBSTACLE DISTANCE = inf
2024-07-28 20:38:43, ACTUAL VELOCITY = nan, DESIRED VELOCITY = 30.00, ACTUAL BRAKE = 0.00, DESIRED BRAKE = 0.00, OBSTACLE DISTANCE = inf
2024-07-28 20:38:43, ACTUAL VELOCITY = nan, DESIRED VELOCITY = 30.00, ACTUAL BRAKE = 0.00, DESIRED BRAKE = 0.00, OBSTACLE DISTANCE = inf
2024-07-28 20:38:44, ACTUAL VELOCITY = nan, DESIRED VELOCITY = 30.00, ACTUAL BRAKE = 0.00, DESIRED BRAKE = 0.00, OBSTACLE DISTANCE = inf
2024-07-28 20:38:44, ACTUAL VELOCITY = nan, DESIRED VELOCITY = 30.00, ACTUAL BRAKE = 0.00, DESIRED BRAKE = 0.00, OBSTACLE DISTANCE = inf
2024-07-28 20:38:44, ACTUAL VELOCITY = nan, DESIRED VELOCITY = 30.00, ACTUAL BRAKE = 0.00, DESIRED BRAKE = 0.00, OBSTACLE DISTANCE = inf
2024-07-28 20:38:44, ACTUAL VELOCITY = nan, DESIRED VELOCITY = 30.00, ACTUAL BRAKE = 0.00, DESIRED BRAKE = 0.00, OBSTACLE DISTANCE = inf
2024-07-28 20:38:44, ACTUAL VELOCITY = nan, DESIRED VELOCITY = 30.00, ACTUAL BRAKE = 0.00, DESIRED BRAKE = 0.00, OBSTACLE DISTANCE = inf
2024-07-28 20:38:44, ACTUAL VELOCITY = nan, DESIRED VELOCITY = 30.00, ACTUAL BRAKE = 0.00, DESIRED BRAKE = 0.00, OBSTACLE DISTANCE = inf
2024-07-28 20:38:44, ACTUAL VELOCITY = nan, DESIRED VELOCITY = 30.00, ACTUAL BRAKE = 0.00, DESIRED BRAKE = 0.00, OBSTACLE DISTANCE = inf
2024-07-28 20:38:44, ACTUAL VELOCITY = nan, DESIRED VELOCITY = 30.00, ACTUAL BRAKE = 0.00, DESIRED BRAKE = 0.00, OBSTACLE DISTANCE = inf
